dataset,method,model,calib_size,mean,q90,std,raw
ionosphere,JaB,PCA,100,0.124,0.329,0.146,"[0.18246, 0.36988, 0.11998, 0.15532, 0.14057, 0.27768, 0.015, 0.25795, 0.20463, 0.1275, 0.55374, 0.33564, 0.0, 0.09665, 0.0305, 0.21598, 0.32889, 0.0, 0.092, 0.19214, 0.11533, 0.28134000000000003, 0.08832, 0.0, 0.11968, 0.34425, 0.0835, 0.0075, 0.0, 0.13165, 0.12414, 0.32916, 0.0, 0.10569, 0.0, 0.05638, 0.0, 0.10663, 0.2664, 0.01, 0.005, 0.12414, 0.15898, 0.0025, 0.0, 0.17628, 0.29984, 0.5373, 0.0, 0.45318, 0.04821, 0.0, 0.32949, 0.033, 0.1058, 0.0075, 0.0, 0.54368, 0.0, 0.025, 0.0, 0.0, 0.0, 0.024, 0.02, 0.1825, 0.07717, 0.0, 0.0, 0.09414, 0.0735, 0.07649, 0.0, 0.0, 0.0, 0.11747, 0.015, 0.16398000000000001, 0.24431, 0.07582, 0.4224, 0.30462, 0.0075, 0.30585, 0.21330000000000002, 0.13382, 0.6165, 0.0025, 0.08915000000000001, 0.033, 0.0, 0.0, 0.19982, 0.0225, 0.0, 0.17416, 0.0025, 0.005, 0.0, 0.0]"
ionosphere,JaB,PCA,200,0.176,0.398,0.152,"[0.25146, 0.11998, 0.46579, 0.0, 0.03948, 0.18881, 0.39757000000000003, 0.50804, 0.27714, 0.15283, 0.38282, 0.0, 0.2387, 0.42481, 0.08497, 0.397, 0.07749, 0.12097000000000001, 0.25314, 0.0, 0.2462, 0.36983, 0.19332, 0.19664, 0.015, 0.43041, 0.17793, 0.33848, 0.23233, 0.0, 0.40215, 0.21247, 0.0, 0.16331, 0.01, 0.09497, 0.26354, 0.0, 0.20831, 0.28568, 0.0, 0.025, 0.12247, 0.32341000000000003, 0.21781, 0.10816, 0.4435, 0.08076, 0.38151, 0.31528, 0.20202, 0.0, 0.16497, 0.40532, 0.06648, 0.20282, 0.08415, 0.03605, 0.21267, 0.0, 0.006500000000000001, 0.0, 0.18731, 0.18799, 0.0, 0.0, 0.17232, 0.0, 0.0, 0.1918, 0.034140000000000004, 0.0, 0.27075, 0.2273, 0.08698, 0.033, 0.0, 0.13747, 0.5884, 0.07998, 0.29847, 0.04297, 0.39795, 0.47343, 0.28197, 0.57175, 0.26947, 0.03615, 0.2125, 0.0, 0.20779, 0.0305, 0.22582, 0.25799, 0.13899, 0.0, 0.14415, 0.14247, 0.0, 0.0]"
ionosphere,JaB,PCA,300,0.171,0.405,0.16,"[0.45862, 0.2548, 0.04163, 0.11498, 0.06115, 0.0, 0.5326, 0.04815, 0.14514, 0.26797, 0.45761, 0.08497, 0.46619, 0.05699, 0.0, 0.0, 0.22415000000000002, 0.0375, 0.39867, 0.18714, 0.22066, 0.015, 0.20551, 0.08832, 0.36733, 0.05842, 0.34181, 0.0, 0.38575, 0.12164, 0.21314, 0.40416, 0.04164, 0.0025, 0.09331, 0.09664, 0.22853, 0.0, 0.28519, 0.24067, 0.22781, 0.0, 0.19914, 0.19481, 0.4435, 0.32439, 0.0833, 0.37484, 0.3222, 0.37303000000000003, 0.029920000000000002, 0.0, 0.1928, 0.16647, 0.03605, 0.40948, 0.24267, 0.006500000000000001, 0.0, 0.25081, 0.04304, 0.0, 0.0, 0.0, 0.057, 0.006500000000000001, 0.19097, 0.12482, 0.0, 0.043000000000000003, 0.2273, 0.03331, 0.13747, 0.0, 0.0, 0.06548, 0.39479, 0.16949, 0.54423, 0.07582, 0.10964, 0.31081, 0.55806, 0.42713, 0.20698, 0.012, 0.63087, 0.215, 0.24698, 0.0, 0.13816, 0.20946, 0.27713, 0.032170000000000004, 0.12582, 0.0, 0.22832, 0.10247, 0.0, 0.0]"
ionosphere,JaB,PCA,400,0.177,0.403,0.151,"[0.25146, 0.42685, 0.11498, 0.04947, 0.005, 0.11885, 0.40221, 0.2663, 0.11983, 0.13747, 0.53472, 0.42235, 0.08497, 0.0325, 0.22198, 0.1953, 0.397, 0.07749, 0.0, 0.18814, 0.18616, 0.36233, 0.19664, 0.0, 0.37426, 0.23813, 0.14526, 0.36848000000000003, 0.0, 0.12164, 0.40516, 0.23782, 0.043300000000000005, 0.09664, 0.0025, 0.16664, 0.22970000000000002, 0.0, 0.27381, 0.32067, 0.0, 0.1208, 0.1633, 0.12482, 0.33935, 0.33122, 0.23614000000000002, 0.37722, 0.2988, 0.43851, 0.20365, 0.0972, 0.0, 0.40948, 0.0, 0.03605, 0.1658, 0.21267, 0.006500000000000001, 0.20081, 0.03314, 0.0, 0.0, 0.09833, 0.0, 0.052, 0.0, 0.0, 0.16648, 0.29881, 0.034140000000000004, 0.0, 0.07647, 0.20397, 0.0, 0.14915, 0.27075, 0.15948, 0.54392, 0.09749000000000001, 0.31996, 0.11331000000000001, 0.43293, 0.03615, 0.54373, 0.31515, 0.58874, 0.22746, 0.2378, 0.0, 0.17696, 0.13816, 0.25399, 0.17833000000000002, 0.09913, 0.0, 0.13634000000000002, 0.0, 0.14069, 0.0025]"
ionosphere,JaB,PCA,500,0.181,0.402,0.153,"[0.20146, 0.3835, 0.11498, 0.0, 0.11963, 0.14214, 0.11783, 0.25797, 0.13747, 0.40654, 0.43033, 0.46733, 0.03497, 0.0325, 0.13698, 0.11608, 0.39867, 0.1953, 0.18714, 0.0, 0.36983, 0.18915, 0.0, 0.38092, 0.25032, 0.21876, 0.23828, 0.13165, 0.36848000000000003, 0.0, 0.40516, 0.21314, 0.028310000000000002, 0.043300000000000005, 0.09664, 0.24067, 0.31833, 0.22453, 0.0, 0.16998, 0.1208, 0.005, 0.09482, 0.21781, 0.16496, 0.46417, 0.17300000000000001, 0.37722, 0.33881, 0.40171, 0.0912, 0.20615, 0.11415, 0.02415, 0.21267, 0.40448, 0.0, 0.006500000000000001, 0.20414, 0.0, 0.0, 0.11735, 0.0025, 0.0, 0.0, 0.13982, 0.0025, 0.04398, 0.18548, 0.2788, 0.03331, 0.20397, 0.0, 0.38575, 0.14414, 0.13798, 0.56451, 0.0, 0.08081, 0.15948, 0.36997, 0.11214, 0.24363, 0.55206, 0.4751, 0.24948, 0.37067, 0.0, 0.5897, 0.05947, 0.17696, 0.24632, 0.14648, 0.14331, 0.25151, 0.22665000000000002, 0.0, 0.0408, 0.0, 0.0]"
ionosphere,JaB,PCA,600,0.187,0.403,0.152,"[0.2558, 0.36571, 0.14314, 0.11415, 0.12134, 0.0, 0.25863, 0.12166, 0.13914, 0.41321, 0.32793, 0.4665, 0.18814, 0.03497, 0.39867, 0.22198, 0.20597000000000001, 0.0025, 0.11146, 0.24125, 0.18616, 0.36804, 0.19881000000000001, 0.2591, 0.0, 0.37891, 0.0, 0.2315, 0.38015, 0.17793, 0.043300000000000005, 0.16831000000000002, 0.21998, 0.11049, 0.0, 0.40182, 0.43135, 0.005, 0.19497, 0.27067, 0.005, 0.06816, 0.16247, 0.35587, 0.11914, 0.33681, 0.37822, 0.46481, 0.23177, 0.23614000000000002, 0.05933, 0.0, 0.40948, 0.11415, 0.20532, 0.0075, 0.24267, 0.006500000000000001, 0.24914, 0.0, 0.04483, 0.0, 0.09882, 0.04398, 0.0025, 0.0, 0.02082, 0.16648, 0.0, 0.29881, 0.03331, 0.18649, 0.19548000000000001, 0.15247, 0.0, 0.42949, 0.0, 0.56188, 0.16949, 0.07582, 0.34997, 0.5334, 0.17214000000000002, 0.24363, 0.45509, 0.27948, 0.1828, 0.29332, 0.59019, 0.0, 0.11196, 0.24732, 0.26067, 0.28235, 0.13816, 0.0, 0.0408, 0.22582, 0.0, 0.0025]"
ionosphere,JaB,PCA,700,0.187,0.398,0.154,"[0.1998, 0.34433, 0.11985, 0.024980000000000002, 0.25863, 0.40221, 0.0, 0.22247, 0.23415, 0.14648, 0.31395, 0.504, 0.13813, 0.18714, 0.12699, 0.397, 0.20597000000000001, 0.0025, 0.03497, 0.11758, 0.18616, 0.36232000000000003, 0.27613, 0.12664, 0.0, 0.23703, 0.37092, 0.0, 0.38015, 0.12832, 0.40516, 0.21081, 0.24253, 0.02232, 0.043300000000000005, 0.16165, 0.09330000000000001, 0.0, 0.52951, 0.31401, 0.024980000000000002, 0.21781, 0.38954, 0.16247, 0.37722, 0.1208, 0.06816, 0.37019, 0.23205, 0.43083, 0.0, 0.03788, 0.01, 0.40448, 0.006500000000000001, 0.24267, 0.20365, 0.1058, 0.0, 0.2458, 0.04483, 0.11398, 0.0, 0.005, 0.0025, 0.09865, 0.17882, 0.0, 0.0, 0.17864, 0.03331, 0.0, 0.18649, 0.14998, 0.18897, 0.0, 0.56564, 0.38675, 0.16949, 0.07581, 0.34997, 0.14297, 0.45943, 0.35165, 0.5334, 0.1178, 0.2638, 0.58952, 0.30066, 0.0175, 0.17446, 0.22582, 0.24732, 0.24067, 0.14648, 0.0, 0.29653, 0.1008, 0.0, 0.0075]"
ionosphere,JaB,PCA,800,0.187,0.399,0.155,"[0.25980000000000003, 0.34433, 0.0, 0.12736, 0.25863, 0.01998, 0.40221, 0.12214, 0.13747, 0.11833, 0.26555, 0.46253, 0.08497, 0.0445, 0.397, 0.13698, 0.12097000000000001, 0.0025, 0.11608, 0.18814, 0.18616, 0.379, 0.23703, 0.0, 0.0, 0.12881, 0.30113, 0.12164, 0.38015, 0.37926, 0.40082, 0.13453, 0.043300000000000005, 0.19664, 0.16165, 0.21164, 0.02232, 0.0, 0.27067, 0.43953, 0.0, 0.10816, 0.0358, 0.35568, 0.16247, 0.39838, 0.37822, 0.22114, 0.30944, 0.46314, 0.40948, 0.112, 0.20698, 0.0075, 0.16497, 0.0, 0.006500000000000001, 0.0, 0.24267, 0.2458, 0.04833, 0.0025, 0.10314, 0.0, 0.17365, 0.16382, 0.0, 0.0, 0.005, 0.29864, 0.18649, 0.03331, 0.0, 0.0, 0.18897, 0.14998, 0.57544, 0.39091, 0.16949, 0.07581, 0.34997, 0.11131, 0.35399, 0.50847, 0.56638, 0.2638, 0.58883, 0.1828, 0.0175, 0.31878, 0.13816, 0.15698, 0.26084, 0.25399, 0.22332, 0.0, 0.29653, 0.1008, 0.0, 0.0025]"
ionosphere,JaB,PCA,900,0.184,0.395,0.153,"[0.34433, 0.20163, 0.01998, 0.04497, 0.12736, 0.0, 0.37138, 0.22247, 0.2653, 0.11833, 0.26555, 0.46253, 0.03497, 0.10032, 0.12699, 0.12097000000000001, 0.11925, 0.397, 0.18814, 0.0025, 0.18616, 0.0, 0.36233, 0.19381, 0.38015, 0.17697, 0.27992, 0.37426, 0.0, 0.13165, 0.39516, 0.043300000000000005, 0.16815, 0.21164, 0.021650000000000003, 0.19664, 0.24253, 0.24067, 0.43831, 0.0, 0.005, 0.1208, 0.10816, 0.08247, 0.39921, 0.21781, 0.25094, 0.37722, 0.36519, 0.4305, 0.12492, 0.0, 0.20698, 0.0075, 0.40782, 0.10497000000000001, 0.29932000000000003, 0.03314, 0.0, 0.2383, 0.04833, 0.005, 0.0, 0.17815, 0.10898000000000001, 0.09865, 0.0, 0.0, 0.29364, 0.0, 0.03331, 0.0, 0.2048, 0.14497, 0.0, 0.18897, 0.39451, 0.08365, 0.07581, 0.58221, 0.34997, 0.11131, 0.45943, 0.57222, 0.6170100000000001, 0.35232, 0.23947000000000002, 0.1728, 0.0175, 0.24363, 0.15531, 0.14565, 0.25715, 0.26084, 0.29653, 0.1008, 0.22332, 0.0, 0.0, 0.0025]"
ionosphere,JaB,PCA,1000,0.188,0.395,0.154,"[0.1998, 0.33933, 0.10998, 0.2653, 0.0, 0.13747, 0.11985, 0.23832, 0.04947, 0.37138, 0.2518, 0.10032, 0.46233, 0.03497, 0.2043, 0.05699, 0.397, 0.18814, 0.11608, 0.0025, 0.37733, 0.18782000000000001, 0.29078, 0.37926, 0.0, 0.12881, 0.2078, 0.13566, 0.37848, 0.0, 0.40516, 0.16648, 0.13103, 0.20081, 0.0, 0.021650000000000003, 0.04164, 0.24901, 0.43917, 0.19664, 0.005, 0.03497, 0.34686, 0.22781, 0.10816, 0.38421, 0.3411, 0.16164, 0.37722, 0.43481000000000003, 0.27243, 0.1058, 0.0075, 0.0, 0.20698, 0.40948, 0.005, 0.0, 0.32626, 0.24080000000000001, 0.04904, 0.10898000000000001, 0.0, 0.0025, 0.11981, 0.0, 0.16815, 0.29364, 0.0, 0.0, 0.08997000000000001, 0.20397, 0.01667, 0.0, 0.14497, 0.25797, 0.39479, 0.07581, 0.58263, 0.16699, 0.34997, 0.51611, 0.11131, 0.33181, 0.56638, 0.5897, 0.26947, 0.18946, 0.24529, 0.0175, 0.05198, 0.14565, 0.26082, 0.25984, 0.22332, 0.0, 0.29665, 0.02748, 0.0, 0.09913]"
ionosphere,J+aB,PCA,100,0.119,0.311,0.137,"[0.0175, 0.36988, 0.27768, 0.11498, 0.20297, 0.124, 0.18663000000000002, 0.015, 0.14057, 0.25081, 0.13209, 0.08497, 0.54264, 0.0, 0.0305, 0.0, 0.31051, 0.19814, 0.31322, 0.19481, 0.0735, 0.0, 0.11233, 0.03559, 0.10783, 0.0, 0.08832, 0.28734, 0.13165, 0.42191, 0.0, 0.0075, 0.0, 0.0, 0.12081, 0.09664, 0.33416, 0.22154000000000001, 0.18942, 0.044, 0.005, 0.0, 0.27574, 0.17129, 0.0, 0.44842, 0.15898, 0.025, 0.0, 0.31068, 0.02667, 0.0, 0.033, 0.02, 0.33365, 0.0, 0.0, 0.0, 0.1058, 0.25382, 0.0, 0.0, 0.35751, 0.0, 0.02, 0.07717, 0.0, 0.024, 0.0, 0.1135, 0.0, 0.09414, 0.07649, 0.0, 0.0, 0.16398000000000001, 0.01, 0.11581, 0.42723, 0.0075, 0.0075, 0.24431, 0.30795, 0.30585, 0.13382, 0.21497, 0.57639, 0.0025, 0.08399, 0.0, 0.032, 0.0, 0.20815, 0.0225, 0.17416, 0.0025, 0.0, 0.1008, 0.0, 0.0]"
ionosphere,J+aB,PCA,200,0.166,0.399,0.152,"[0.18998, 0.25663, 0.44184, 0.18548, 0.38415, 0.034980000000000004, 0.0, 0.49884, 0.28297, 0.06115, 0.1287, 0.11647, 0.32633, 0.0, 0.42481, 0.08497, 0.39867, 0.07832, 0.0, 0.25314, 0.21153, 0.15259, 0.364, 0.015, 0.19664, 0.08332, 0.36825, 0.34182, 0.0, 0.22899, 0.21247, 0.16414, 0.41716, 0.19664, 0.0, 0.0, 0.42168, 0.35087, 0.04164, 0.21331, 0.21564, 0.0025, 0.10066, 0.0, 0.08247, 0.32528, 0.38068, 0.06686, 0.34435, 0.3835, 0.0, 0.1658, 0.09449, 0.005, 0.20282, 0.01, 0.40865, 0.0, 0.16767, 0.07915, 0.02315, 0.09731000000000001, 0.0, 0.12382, 0.057, 0.0, 0.0, 0.0, 0.0, 0.19014, 0.034140000000000004, 0.2298, 0.0, 0.0, 0.26532, 0.13997, 0.0763, 0.08698, 0.54127, 0.01998, 0.034140000000000004, 0.29847, 0.30515000000000003, 0.39862, 0.23948, 0.46854, 0.03615, 0.55731, 0.1245, 0.0, 0.20946, 0.0265, 0.24732, 0.13899, 0.0, 0.18665, 0.14415, 0.09913, 0.0, 0.0]"
ionosphere,J+aB,PCA,300,0.161,0.401,0.156,"[0.27064, 0.43351, 0.01998, 0.10064000000000001, 0.50804, 0.04815, 0.042300000000000004, 0.0445, 0.0, 0.27297, 0.0, 0.44212, 0.46865, 0.0835, 0.0587, 0.21081, 0.08497, 0.18881, 0.40539000000000003, 0.0, 0.0, 0.36233, 0.20228000000000002, 0.36325, 0.08983000000000001, 0.08832, 0.34515, 0.05842, 0.0, 0.22483, 0.40082, 0.21414, 0.09414, 0.09664, 0.005, 0.24833, 0.04164, 0.0, 0.22853, 0.27462, 0.0025, 0.0, 0.33681, 0.21064, 0.38235, 0.294, 0.24398, 0.08413, 0.3845, 0.3233, 0.0, 0.02925, 0.41115, 0.09258, 0.005, 0.19447, 0.0, 0.1658, 0.0958, 0.16267, 0.03983, 0.0, 0.006500000000000001, 0.0, 0.0, 0.057, 0.07816000000000001, 0.0, 0.0, 0.21349, 0.03331, 0.22897, 0.0, 0.06298000000000001, 0.0, 0.38349, 0.17449, 0.52528, 0.13747, 0.07581, 0.03964, 0.31081, 0.42996, 0.50176, 0.24948, 0.20698, 0.197, 0.58911, 0.017, 0.0, 0.14648, 0.18113, 0.032170000000000004, 0.2679, 0.23082, 0.0, 0.11911000000000001, 0.10247, 0.0, 0.0]"
ionosphere,J+aB,PCA,400,0.171,0.397,0.155,"[0.25563, 0.27297, 0.0465, 0.39954, 0.12986, 0.43351, 0.058140000000000004, 0.01998, 0.09914, 0.0, 0.08497, 0.49712, 0.0, 0.397, 0.42202, 0.20147, 0.11616, 0.04564, 0.18814, 0.22198, 0.09616, 0.36804, 0.19664, 0.37182, 0.2369, 0.0, 0.0, 0.36725, 0.14526, 0.12164, 0.21898, 0.40516, 0.021650000000000003, 0.03997, 0.03164, 0.16664, 0.32167, 0.30309, 0.21453, 0.0, 0.0, 0.21147, 0.0025, 0.08496000000000001, 0.32334, 0.12232, 0.38898, 0.38139, 0.3355, 0.30742, 0.0, 0.40948, 0.07742, 0.0075, 0.1928, 0.1658, 0.03164, 0.25081, 0.16267, 0.0, 0.09583, 0.0, 0.006500000000000001, 0.0025, 0.0, 0.052, 0.0, 0.31514, 0.12148, 0.0, 0.034140000000000004, 0.0, 0.2048, 0.0, 0.06298000000000001, 0.14998, 0.27141, 0.16699, 0.5993, 0.07581, 0.31996, 0.31515, 0.45496, 0.53338, 0.11915, 0.5882000000000001, 0.24948, 0.18865, 0.0, 0.0195, 0.1503, 0.25232, 0.13816, 0.10049000000000001, 0.18333, 0.28331, 0.0, 0.0, 0.1008, 0.0]"
ionosphere,J+aB,PCA,500,0.166,0.381,0.149,"[0.11797, 0.09914, 0.024980000000000002, 0.25780000000000003, 0.40685, 0.0, 0.1145, 0.10997, 0.25563, 0.37954, 0.11466, 0.32132, 0.11030000000000001, 0.13198000000000001, 0.0325, 0.39867, 0.18881, 0.0, 0.50483, 0.03497, 0.09616, 0.0, 0.12881, 0.3715, 0.12164, 0.36848000000000003, 0.12606, 0.37749, 0.0, 0.15025, 0.21231, 0.021650000000000003, 0.39516, 0.0983, 0.16997, 0.0, 0.21382, 0.30276000000000003, 0.09664, 0.24167, 0.0, 0.03497, 0.19647, 0.3355, 0.12482, 0.16413, 0.37722, 0.37383, 0.15325, 0.43898, 0.04923, 0.11415, 0.0, 0.40948, 0.0075, 0.005, 0.20615, 0.0, 0.10566, 0.10081, 0.04083, 0.0, 0.029810000000000003, 0.0025, 0.09865, 0.0025, 0.19548000000000001, 0.0, 0.0, 0.28714, 0.03331, 0.2048, 0.0, 0.14998, 0.0, 0.13298000000000001, 0.16699, 0.26699, 0.53991, 0.10582, 0.44912, 0.34997, 0.1013, 0.58992, 0.34665, 0.11947, 0.50269, 0.27032, 0.0, 0.19198, 0.17946, 0.24815, 0.14648, 0.18665, 0.1008, 0.12884, 0.0, 0.14331, 0.0, 0.0]"
ionosphere,J+aB,PCA,600,0.179,0.387,0.15,"[0.1213, 0.21914, 0.20063, 0.1225, 0.36517, 0.26196, 0.11498, 0.14314, 0.39954, 0.0, 0.0, 0.46865, 0.09115000000000001, 0.03497, 0.31553, 0.25814, 0.1953, 0.11592, 0.13698, 0.39867, 0.36983, 0.18616, 0.12881, 0.0, 0.15025, 0.22523, 0.36848000000000003, 0.0, 0.21832000000000001, 0.37849, 0.21898, 0.005, 0.17164000000000001, 0.043300000000000005, 0.40582, 0.24167, 0.30809, 0.09664, 0.15253, 0.0, 0.005, 0.0025, 0.21147, 0.34418, 0.37822, 0.3325, 0.06816, 0.16413, 0.43481000000000003, 0.23077, 0.05786, 0.0075, 0.0, 0.20615, 0.0, 0.40948, 0.1658, 0.005, 0.244, 0.25081, 0.02315, 0.0025, 0.09882, 0.04398, 0.005, 0.0, 0.0, 0.0, 0.12148, 0.31381, 0.18649, 0.034140000000000004, 0.0, 0.1913, 0.38582, 0.15247, 0.5542900000000001, 0.16949, 0.0, 0.07582, 0.17214000000000002, 0.34997, 0.45759, 0.29332, 0.2678, 0.18946, 0.53213, 0.26249, 0.0, 0.59019, 0.14648, 0.0653, 0.0, 0.18665, 0.25051, 0.25232, 0.0408, 0.0, 0.28331, 0.0]"
ionosphere,J+aB,PCA,700,0.178,0.396,0.152,"[0.39587, 0.024980000000000002, 0.14214, 0.36517, 0.11897, 0.09914, 0.18063, 0.0, 0.23982, 0.26196, 0.29197, 0.504, 0.20147, 0.11425, 0.03497, 0.13198000000000001, 0.13813, 0.397, 0.0, 0.18881, 0.10615000000000001, 0.35816, 0.12881, 0.37849, 0.19176, 0.0, 0.11748, 0.0, 0.13661, 0.36848000000000003, 0.21081, 0.40082, 0.043300000000000005, 0.09664, 0.0, 0.1162, 0.021650000000000003, 0.16165, 0.32167, 0.43981, 0.005, 0.19564, 0.0358, 0.06816, 0.1633, 0.37722, 0.38416, 0.43481000000000003, 0.35514, 0.26643, 0.05786, 0.40865, 0.0, 0.20615, 0.0075, 0.10747, 0.005, 0.0, 0.2458, 0.29899, 0.02315, 0.10898000000000001, 0.0, 0.005, 0.09882, 0.0075, 0.0, 0.0, 0.17898, 0.29364, 0.03331, 0.15081, 0.18649, 0.0, 0.0, 0.38341000000000003, 0.19047, 0.54062, 0.16699, 0.07581, 0.34997, 0.45592, 0.51345, 0.11214, 0.59094, 0.27515, 0.24249, 0.2338, 0.1828, 0.0175, 0.1503, 0.24732, 0.14648, 0.0408, 0.0, 0.18582, 0.28331, 0.23134, 0.0, 0.0]"
