dataset,method,model,calib_size,mean,q90,std,raw
ionosphere,J+aB,PCA,800,0.182,0.395,0.151,"[0.14231, 0.39954, 0.01665, 0.26063000000000003, 0.30447, 0.1145, 0.0, 0.26196, 0.12636, 0.09914, 0.08949, 0.46797, 0.18881, 0.08497, 0.22198, 0.10842, 0.397, 0.26846, 0.0, 0.11030000000000001, 0.0, 0.37967, 0.12881, 0.19176, 0.19783, 0.37848, 0.37726, 0.13661, 0.0, 0.21832000000000001, 0.39482, 0.21164, 0.03997, 0.16165, 0.09482, 0.14986, 0.32167, 0.0, 0.48825, 0.19664, 0.0, 0.03497, 0.21564, 0.10816, 0.0833, 0.37383, 0.37722, 0.35568, 0.23177, 0.46481, 0.09167, 0.0, 0.20698, 0.40948, 0.0, 0.1658, 0.005, 0.0, 0.244, 0.18831, 0.0, 0.04483, 0.0025, 0.11398, 0.09865, 0.005, 0.12398, 0.0, 0.0, 0.29864, 0.18649, 0.03331, 0.0, 0.25547, 0.0, 0.15081, 0.38516, 0.55614, 0.07581, 0.16949, 0.11214, 0.34997, 0.2638, 0.52271, 0.44912, 0.34665, 0.59076, 0.1828, 0.0175, 0.24249, 0.15531, 0.13816, 0.25715, 0.25068, 0.18665, 0.0, 0.1008, 0.28331, 0.0075, 0.0]"
ionosphere,J+aB,PCA,900,0.176,0.39,0.152,"[0.12636, 0.21914, 0.18063, 0.01998, 0.34433, 0.0, 0.27197, 0.30838, 0.04497, 0.115, 0.26388, 0.20147, 0.03497, 0.11508, 0.42202, 0.08949, 0.12699, 0.397, 0.18714, 0.0, 0.19116, 0.364, 0.0, 0.13661, 0.37848, 0.12664, 0.37226, 0.23509, 0.0, 0.13165, 0.40082, 0.21164, 0.021650000000000003, 0.09664, 0.043300000000000005, 0.23253000000000001, 0.16332, 0.0, 0.43863, 0.24167, 0.005, 0.22114, 0.0358, 0.10816, 0.16247, 0.38954, 0.26852, 0.38139, 0.33431, 0.43381000000000003, 0.09167, 0.005, 0.0, 0.02417, 0.40948, 0.20698, 0.29933, 0.0, 0.1058, 0.09497, 0.05499, 0.11898, 0.09865, 0.005, 0.0, 0.0025, 0.0, 0.16898, 0.0, 0.28864, 0.03331, 0.21814, 0.0, 0.0, 0.1458, 0.19147, 0.38491000000000003, 0.08365, 0.56367, 0.07581, 0.34997, 0.11214, 0.50496, 0.52313, 0.59076, 0.34665, 0.23947000000000002, 0.1178, 0.24363, 0.0175, 0.05198, 0.14648, 0.24915, 0.25568, 0.22582, 0.0, 0.0, 0.0408, 0.28331, 0.0]"
ionosphere,J+aB,PCA,1000,0.181,0.389,0.15,"[0.11447, 0.12636, 0.0, 0.36588, 0.024980000000000002, 0.21914, 0.27197, 0.23832, 0.18063, 0.33933, 0.12292, 0.11146, 0.20926, 0.20597000000000001, 0.03497, 0.11699, 0.397, 0.45186, 0.0, 0.18214, 0.19116, 0.379, 0.12881, 0.37726, 0.0, 0.25968, 0.24509, 0.37848, 0.0, 0.12164, 0.40182, 0.04247, 0.21164, 0.09664, 0.02248, 0.16665, 0.24253, 0.43407, 0.0, 0.24167, 0.005, 0.03497, 0.22114, 0.21316000000000002, 0.15997, 0.3433, 0.33631, 0.37722, 0.21852, 0.38898, 0.0, 0.107, 0.20698, 0.40948, 0.005, 0.0, 0.0, 0.1058, 0.30232000000000003, 0.09664, 0.04583, 0.10981, 0.0, 0.09865, 0.0, 0.0025, 0.17898, 0.0, 0.0, 0.29364, 0.03331, 0.0, 0.2048, 0.19047, 0.15948, 0.15081, 0.0, 0.38951, 0.55658, 0.07581, 0.34997, 0.11214, 0.54379, 0.44912, 0.34665, 0.26947, 0.1828, 0.59076, 0.24249, 0.023, 0.04531, 0.14565, 0.25318, 0.18665, 0.0075, 0.26082, 0.28331, 0.09913, 0.0, 0.0]"
breastw,JaB,PCA,100,0.159,0.36,0.14,"[0.0, 0.02222, 0.18394, 0.08633, 0.16948, 0.01092, 0.08728, 0.27952, 0.28603, 0.41376, 0.29084, 0.00917, 0.0, 0.14424, 0.045720000000000004, 0.20519, 0.1295, 0.0025, 0.28636, 0.323, 0.16819, 0.13397, 0.27189, 0.06014, 0.22467, 0.00944, 0.35303, 0.40612, 0.33126, 0.19813, 0.00489, 0.05976, 0.00375, 0.13348, 0.0, 0.00364, 0.12462000000000001, 0.08731, 0.52645, 0.27119, 0.0, 0.01625, 0.17577, 0.0, 0.0075, 0.18558, 0.21172, 0.09918, 0.26375, 0.40875, 0.0, 0.29684, 0.19627, 0.34364, 0.49555, 0.03971, 0.06168, 0.11928, 0.32269, 0.19502, 0.12963, 0, 0.0, 0.0, 0.09946, 0.36708, 0.27097, 0.36212, 0, 0.32208, 0.18819, 0.11529, 0.20535, 0.35974, 0.03188, 0.04883, 0.16426, 0.39113, 0.05377, 0.24304, 0, 0.005, 0.03152, 0.24979, 0.04842, 0.25247, 0.00875, 0.14755000000000001, 0.09773, 0.02347, 0.14301, 0.05441, 0.22739, 0.25662, 0.23410999999999998, 0.48345, 0.42647, 0.00125, 0.0, 0.09643]"
breastw,JaB,PCA,200,0.167,0.324,0.118,"[0.06564, 0.11132, 0.20851, 0.18394, 0.34, 0.42305, 0.29723, 0.14865, 0.13732, 0.0, 0.029140000000000003, 0.01847, 0.0938, 0.12249, 0.0, 0.12976000000000001, 0.02945, 0.18036, 0.31651, 0.34332, 0.22769, 0.09372, 0.16699, 0.18586, 0.03812, 0.10493, 0.10308, 0.31101, 0.26146, 0.33298, 0.02897, 0.08795, 0.08831, 0.29707, 0.14859, 0.28554, 0.0, 0.08729, 0.26846, 0.28497, 0.23557999999999998, 0.0, 0.01625, 0.00375, 0.2332, 0.0, 0.18502, 0.14173, 0.07815, 0.10593999999999999, 0.31515, 0.0, 0.20844, 0.16697, 0.31239, 0.15288, 0.13203, 0.25184, 0.29739, 0.19177, 0.28492, 0.05361, 0.0, 0.38183, 0.17335, 0.00375, 0.09271, 0.03492, 0.35443, 0.35968, 0.11145, 0.11925, 0.42465, 0.25096, 0.09296, 0.39113, 0.24667, 0.10023, 0.07213, 0.1761, 0, 0.043660000000000004, 0.067, 0.06112, 0.27555, 0.07469, 0.21772, 0.07722, 0.1105, 0.25093, 0.32258000000000003, 0.12667, 0.425, 0.22966999999999999, 0.30441, 0.1414, 0.2307, 0.0, 0.29886, 0.14395]"
breastw,JaB,PCA,300,0.181,0.34,0.121,"[0.18573, 0.2069, 0.14253, 0.12828, 0.19166, 0.31124, 0.29955, 0.23444, 0.45181, 0.0, 0.10094, 0.08288, 0.045720000000000004, 0.11157, 0.12741, 0.13551, 0.1717, 0.0, 0.32149, 0.20815, 0.27123, 0.11608, 0.29359, 0.18035, 0.17594, 0.048960000000000004, 0.14044, 0.26573, 0.31252, 0.33788, 0.04694, 0.10822, 0.36118, 0.14257, 0.31957, 0.21073, 0.23185, 0.003, 0.32202000000000003, 0.26607, 0.04348, 0.22282, 0.0, 0.00375, 0.0, 0.19541, 0.23345, 0.00819, 0.18411, 0.00375, 0.2941, 0.0, 0.19277, 0.25207, 0.16557, 0.18548, 0.14198, 0.42982, 0.07592, 0.20231, 0.30647, 0.18113, 0.15798, 0.4009, 0.02558, 0.10388, 0.28297, 0.12699, 0.36143000000000003, 0.36347, 0.12082999999999999, 0.29959, 0.10932, 0.42752, 0.39113, 0.08852, 0.12686, 0.06612, 0.15832000000000002, 0.23443, 0.043660000000000004, 0.0547, 0.0, 0.09687, 0.09089, 0.32897, 0.09976, 0.2616, 0.08031, 0.21479, 0.24823, 0.26826, 0.22648, 0.46547, 0.2972, 0.05846, 0.01554, 0.10004, 0.023049999999999998, 0.3863]"
breastw,JaB,PCA,400,0.18,0.351,0.119,"[0.20986, 0.12948, 0.13688, 0.11404, 0.18129, 0.46666, 0.21418, 0.1225, 0.33726, 0.15209, 0.22612, 0.08232, 0.0439, 0.05656, 0.02514, 0.09499, 0.15541, 0.11651, 0.34909, 0.20771, 0.05165, 0.29724, 0.2145, 0.13879, 0.19458999999999999, 0.15365, 0.04889, 0.26146, 0.24856, 0.32085, 0.06343, 0.11122, 0.30536, 0.19594, 0.41259, 0.28258, 0.00462, 0.2087, 0.25659, 0.30534, 0.0025, 0.04216, 0.21588, 0.16570000000000001, 0.03216, 0.0, 0.23162, 0.17762, 0.01376, 0.0499, 0.29773, 0.0, 0.18934, 0.34426, 0.37051, 0.13271, 0.21178, 0.17907, 0.09965, 0.14746, 0.33273, 0.21679, 0.052629999999999996, 0.07843, 0.38553, 0.24494, 0.14199, 0.17523, 0.37256, 0.36347, 0.12211999999999999, 0.11749, 0.06514, 0.1406, 0.05439, 0.39162, 0.11781, 0.39205, 0.15934, 0.25008, 0.0, 0.12323, 0.03975, 0.12719, 0.32155, 0.12343, 0.043660000000000004, 0.0785, 0.28714, 0.09541, 0.29282, 0.28621, 0.05846, 0.30354, 0.47389000000000003, 0.2261, 0.11423, 0.4108, 0.03594, 0.01332]"
breastw,JaB,PCA,500,0.182,0.351,0.12,"[0.12341, 0.18129, 0.16949999999999998, 0.11772, 0.08183, 0.34672, 0.23310999999999998, 0.08613, 0.20525, 0.44402, 0.09548, 0.07671, 0.05656, 0.05936, 0.14132, 0.10071, 0.15579, 0.20456, 0.3338, 0.0, 0.27224, 0.07442, 0.21991, 0.28228, 0.1316, 0.15536, 0.16122, 0.25658, 0.32201, 0.19876, 0.06343, 0.10892, 0.12725, 0.41862, 0.15092, 0.29858, 0.0, 0.25707, 0.21554, 0.2759, 0.03064, 0.00679, 0.18872, 0.03216, 0.00625, 0.1694, 0.20358, 0.08103, 0.23337, 0.01376, 0.31808, 0.18684, 0.0, 0.33697, 0.20608, 0.41521, 0.14458, 0.1743, 0.15687, 0.09332, 0.31414, 0.40312, 0.24216, 0.24923, 0.17342, 0.00834, 0.10845, 0.36143000000000003, 0.20538, 0.34621, 0.12112, 0.12173, 0.1208, 0.08796, 0.39349, 0.1815, 0.07323, 0.11831, 0.39323, 0.2515, 0.0, 0.12553, 0.043660000000000004, 0.14094, 0.13758, 0.34974, 0.03975, 0.27389, 0.07698, 0.09565, 0.39811, 0.26896, 0.22282, 0.31773, 0.48659, 0.06189, 0.11828999999999999, 0.1023, 0.4108, 0.04179]"
breastw,JaB,PCA,600,0.179,0.35,0.12,"[0.11557, 0.12695, 0.21281, 0.09604, 0.12797, 0.34359, 0.22177, 0.43734, 0.015, 0.19091, 0.02141, 0.09862, 0.10521, 0.08454, 0.05656, 0.0, 0.15734, 0.33476, 0.20582, 0.13494, 0.27327, 0.17409, 0.07871, 0.25759, 0.26118, 0.18787, 0.16468, 0.09592, 0.20415, 0.31791, 0.0824, 0.11122, 0.15239, 0.20614, 0.37219, 0.22601, 0.29892, 0.0, 0.26646, 0.18377, 0.04326, 0.0, 0.21141, 0.01713, 0.23263, 0.0075, 0.17564, 0.17729999999999999, 0.09215, 0.05181, 0.32314, 0.0, 0.15664, 0.34803, 0.19376, 0.09035, 0.39103, 0.16602, 0.14746, 0.08787, 0.31414, 0.04051, 0.20641, 0.41818, 0.24756, 0.20493, 0.157, 0.15454, 0.32124, 0.34044, 0.40066, 0.10096, 0.07388, 0.07464, 0.12263, 0.11613, 0.12741, 0.39328, 0.26546, 0.17366, 0.1229, 0.0, 0.043660000000000004, 0.11989999999999999, 0.07937, 0.12739, 0.03999, 0.41721, 0.27259, 0.08743, 0.22249, 0.26976, 0.10515, 0.11712, 0.47701, 0.41171, 0.31524, 0.06405, 0.00222, 0.41002]"
breastw,JaB,PCA,700,0.181,0.346,0.115,"[0.18025, 0.1964, 0.10283, 0.21191000000000002, 0.36506, 0.1065, 0.26275, 0.40166, 0.17077, 0.03498, 0.0, 0.09741, 0.08955, 0.0863, 0.34558, 0.11067, 0.0, 0.14409, 0.15627, 0.20902, 0.27327, 0.07728, 0.19895, 0.17282999999999998, 0.09908, 0.16122, 0.20835, 0.14367, 0.32597, 0.23342, 0.13444, 0.10892, 0.12093, 0.10013, 0.29814, 0.00962, 0.42084, 0.26473, 0.22636, 0.18775, 0.04293, 0.0, 0.20103, 0.17014, 0.03777, 0.00625, 0.09153, 0.17461, 0.22587, 0.07572, 0.31461, 0.17871, 0.0, 0.32143, 0.21029, 0.09035, 0.18548, 0.10029, 0.19065, 0.39571, 0.32562, 0.28614, 0.2542, 0.08088, 0.37853, 0.12181, 0.20887, 0.17309, 0.34224, 0.34787, 0.1214, 0.14253, 0.12173, 0.09479, 0.39485, 0.0698, 0.10589, 0.39328, 0.17504, 0.25309, 0.0, 0.13488, 0.03999, 0.046990000000000004, 0.34088, 0.08665, 0.1189, 0.27422, 0.12488, 0.07680000000000001, 0.26609, 0.22195, 0.2662, 0.4845, 0.3146, 0.06322, 0.10429, 0.23619, 0.01957, 0.4108]"
breastw,JaB,PCA,800,0.184,0.345,0.115,"[0.16988999999999999, 0.14107, 0.05631, 0.13593, 0.25896, 0.42487, 0.26916, 0.3617, 0.1863, 0.16507, 0.0, 0.08454, 0.09206, 0.09764, 0.1582, 0.14682, 0.1174, 0.0, 0.20902, 0.32149, 0.27359, 0.07761, 0.26806, 0.17914, 0.14714, 0.19124, 0.20702, 0.24243, 0.10289, 0.32559, 0.12912, 0.13966, 0.19456, 0.10928, 0.43666, 0.29629, 0.23375, 0.00962, 0.26607, 0.18578, 0.04293, 0.06117, 0.19003, 0.0025, 0.013219999999999999, 0.22587, 0.18186, 0.17478, 0.08103, 0.04772, 0.31737, 0.0, 0.18777, 0.33149, 0.21383, 0.41646, 0.08950999999999999, 0.12231, 0.18418, 0.13229, 0.35013, 0.12245, 0.12903, 0.28414, 0.38952, 0.23061, 0.16236, 0.34454, 0.34224, 0.20019, 0.12344, 0.12227, 0.12851, 0.09812, 0.39205, 0.38305, 0.11781, 0.23829, 0.16584, 0.08356, 0.043660000000000004, 0.0, 0.14947, 0.12192, 0.32242, 0.02162, 0.0886, 0.28384, 0.09291, 0.07680000000000001, 0.27237, 0.27034, 0.47106000000000003, 0.22209, 0.3146, 0.11712, 0.07851, 0.40379, 0.17024, 0.00222]"
breastw,JaB,PCA,900,0.185,0.345,0.113,"[0.09914, 0.13958, 0.12797, 0.3559, 0.25587, 0.40812, 0.26431, 0.11873, 0.16507, 0.18597, 0.0075, 0.09788, 0.08454, 0.053829999999999996, 0.15852, 0.14399, 0.34654, 0.14437, 0.0, 0.20672, 0.07871, 0.27073, 0.20676, 0.15138, 0.24161, 0.14714, 0.12759, 0.23342, 0.22936, 0.32597, 0.20374, 0.10676, 0.18884, 0.44169, 0.18818000000000001, 0.26062, 0.30569, 0.10908, 0.25579, 0.22166, 0.04959, 0.03091, 0.18631999999999999, 0.01608, 0.19849, 0.07853, 0.17843, 0.22587, 0.08103, 0.03046, 0.07643, 0.21936, 0.0, 0.41308, 0.31737, 0.07864, 0.1221, 0.2791, 0.05974, 0.19058, 0.32455, 0.38817, 0.15514, 0.28472, 0.23159, 0.1216, 0.20374, 0.18157, 0.34044, 0.34454, 0.11896, 0.13089, 0.38122, 0.099, 0.10066, 0.09812, 0.11781, 0.39216, 0.16737, 0.25389, 0.12192, 0.0, 0.043660000000000004, 0.13257, 0.32431, 0.07678, 0.03999, 0.28823, 0.07680000000000001, 0.10207, 0.26962, 0.31627, 0.47968, 0.32253, 0.22359, 0.14051, 0.11401, 0.05096, 0.39074, 0.02082]"
breastw,JaB,PCA,1000,0.184,0.335,0.111,"[0.16822, 0.36576, 0.11846, 0.21227000000000001, 0.12676, 0.10617, 0.18629, 0.28958, 0.41811, 0.23771, 0.09755, 0.0, 0.06885, 0.07947, 0.18295, 0.0, 0.15524, 0.3338, 0.14556, 0.20231, 0.27226, 0.08923, 0.25843, 0.15162, 0.15587, 0.21898, 0.27638, 0.22655999999999998, 0.17774, 0.32559, 0.23145, 0.10892, 0.13216, 0.07555, 0.30523, 0.07816000000000001, 0.39877, 0.26031, 0.25615, 0.21511, 0.01804, 0.04959, 0.16471, 0.013219999999999999, 0.22988, 0.06071, 0.20462, 0.1781, 0.08903, 0.00375, 0.2406, 0.31773, 0.0, 0.12664, 0.07836, 0.21334, 0.37735, 0.13057, 0.05974, 0.19205, 0.32464, 0.21107, 0.33311999999999997, 0.09885, 0.37481, 0.15265, 0.20693, 0.16186999999999999, 0.34224, 0.3106, 0.09812, 0.12945, 0.37342, 0.12499, 0.12193999999999999, 0.08134, 0.39241, 0.12597, 0.16737, 0.25398, 0.11432, 0.0, 0.043660000000000004, 0.16282, 0.05691, 0.09203, 0.33117, 0.28613, 0.07704, 0.10207, 0.26644, 0.26189, 0.31834, 0.46853, 0.22457, 0.13466, 0.09308, 0.05655, 0.38697, 0.06548999999999999]"
breastw,J+aB,PCA,100,0.165,0.364,0.145,"[0.1856, 0.00364, 0.02472, 0.16998, 0.08633, 0.28358, 0.28603, 0.27952, 0.41101, 0, 0.34985, 0.0, 0.04243, 0.00917, 0.32328, 0.1023, 0.17791, 0.14174, 0.0025, 0.28576, 0.29843, 0.16361, 0.00819, 0.0564, 0.13453, 0.35389, 0.223, 0.1894, 0.40456, 0.33114, 0.00364, 0.05869, 0.10361, 0.00375, 0.0, 0.08417, 0.24075, 0.12462000000000001, 0.55904, 0.26389, 0.0, 0.17664, 0.01625, 0.0, 0.21172, 0.00625, 0.09951, 0.18718, 0.25569, 0.17571, 0.00125, 0.28252, 0.0472, 0.0, 0.19627, 0.33919, 0.48985, 0.11689000000000001, 0.32269, 0.19455, 0.0, 0.13001000000000001, 0.08241, 0.36812, 0.2713, 0.0, 0.09946, 0, 0.3187, 0.36402, 0.11565, 0.18819, 0.050640000000000004, 0.27409, 0.39203, 0.39113, 0.00375, 0.01222, 0.1461, 0.25937, 0, 0, 0.030270000000000002, 0.005, 0.04842, 0.28161, 0.14755000000000001, 0.20923, 0.09589, 0.02347, 0.44281000000000004, 0.45304, 0.22739, 0.48829, 0.29398, 0.0075, 0.25354, 0.10254, 0.0, 0.00125]"
breastw,J+aB,PCA,200,0.165,0.324,0.119,"[0.10382, 0.04258, 0.22928, 0.1376, 0.33494999999999997, 0.14972, 0.16576, 0.40217, 0.29723, 0.006, 0.12213, 0.14654, 0.00375, 0.07821, 0.06134, 0.17913, 0.34332, 0.02945, 0.01972, 0.31443, 0.09396, 0.24862, 0.21624, 0.05758, 0.16837, 0.24206, 0.02593, 0.30727, 0.22433, 0.33843, 0.06103, 0.02921, 0.08897, 0.18212, 0.28814, 0.28447, 0.0, 0.37882, 0.17003, 0.28035, 0.0, 0.18941, 0.23296, 0.0, 0.0, 0.00375, 0.1412, 0.07839, 0.17468, 0.24802, 0.30609, 0.24652, 0.0, 0.2101, 0.06283, 0.08483, 0.24814, 0.121, 0.18253, 0.21498, 0.28485, 0.37846, 0.05361, 0.0, 0.0025, 0.16774, 0.09307, 0.0, 0.3368, 0.32225, 0.061880000000000004, 0.11953, 0.43789, 0.09394, 0.21914, 0.39113, 0.17986, 0.10071000000000001, 0.15829000000000001, 0.25435, 0, 0.05465, 0.07475, 0.043660000000000004, 0.25655, 0.23505, 0.22757, 0.05597, 0.07722, 0.09474, 0.25709, 0.27428, 0.22966999999999999, 0.30488, 0.41931, 0.27302, 0.13821, 0.00625, 0.2307, 0.0]"
breastw,J+aB,PCA,300,0.172,0.342,0.122,"[0.16581, 0.15359, 0.18037, 0.29812, 0.44631, 0.28885, 0.12558, 0.12898, 0.0, 0.16519, 0.04156, 0.06662, 0.12797, 0.33035, 0.0434, 0.17538, 0.09237, 0.0, 0.09393, 0.20658, 0.27025, 0.07613, 0.048960000000000004, 0.26118, 0.26872, 0.03545, 0.26477, 0.15533, 0.27108, 0.32974, 0.11047, 0.23218, 0.31004, 0.18487, 0.04097, 0.35573, 0.21203, 0.0, 0.25934, 0.27493, 0.011439999999999999, 0.22653, 0.0, 0.18509, 0.0, 0.18481, 0.1752, 0.00375, 0.0, 0.00819, 0.29113, 0.0, 0.20745, 0.1416, 0.13195, 0.0998, 0.4082, 0.24087999999999998, 0.18667, 0.0686, 0.30822, 0.03458, 0.16836, 0.39327, 0.08704, 0.22445, 0.15317, 0.10166, 0.34754, 0.36405, 0.12111, 0.1253, 0.42937000000000003, 0.26924, 0.39277, 0.09236, 0.12873, 0.11781, 0.15832000000000002, 0.23599, 0.0, 0.08366, 0.09976, 0.023049999999999998, 0.043660000000000004, 0.3412, 0.2576, 0.19565, 0.08067, 0.09161, 0.27271, 0.22648, 0.27044, 0.02019, 0.47015, 0.00625, 0.30108, 0.39619, 0.10004, 0.05179]"
breastw,J+aB,PCA,400,0.176,0.362,0.12,"[0.10754, 0.19891999999999999, 0.07234, 0.21459, 0.14197, 0.2148, 0.37271, 0.17176, 0.17815, 0.45422, 0.1179, 0.06734, 0.22091, 0.04423, 0.3187, 0.11484, 0.0, 0.15598, 0.20765, 0.05656, 0.03783, 0.19929, 0.27399, 0.20573, 0.04922, 0.12671, 0.18473, 0.14959999999999998, 0.32035, 0.26237, 0.04336, 0.14262, 0.11155, 0.28814, 0.34601, 0.01379, 0.29919, 0.22667, 0.25136, 0.26484, 0.13774, 0.0025, 0.03064, 0.02855, 0.0, 0.21632, 0.17861, 0.21512, 0.0, 0.0418, 0.0, 0.29034, 0.1985, 0.24853, 0.20662, 0.15564, 0.16328, 0.09465, 0.40158, 0.14371, 0.33448, 0.15793, 0.10328999999999999, 0.38721, 0.17591, 0.20328, 0.10854, 0.14119, 0.36143000000000003, 0.36347, 0.1224, 0.14279, 0.38107, 0.17407999999999998, 0.050679999999999996, 0.11831, 0.39349, 0.03981, 0.17532, 0.24105, 0.0, 0.043660000000000004, 0.023049999999999998, 0.10105, 0.33807, 0.11143, 0.08963, 0.0785, 0.27493, 0.09661, 0.41948, 0.26987, 0.2256, 0.46398, 0.30453, 0.11412, 0.03594, 0.40185, 0.02139, 0.00222]"
